阿党比周    相互勾结，相互偏袒，结党营私。
百舍重趼    亦作“百舍重茧”。百里一舍，足底老皮上又生出硬皮。形容长途奔走，十分辛劳。
百身何赎    见“百身莫赎”。
百身莫赎    亦作“百身何赎”。谓一身虽百死亦不能补偿。
百世不磨    千秋万代永不磨灭。
百世不易    千秋万代永不改变。
百世流芳    美名永传于后世。
百世流芬    见“百世流芳”。
百世一人    谓极难得的人才。
百世之利    世世代代的利益。
百事大吉    谓一切顺利；平安无事。
百兽率舞    谓音乐和谐之声感动群兽相率起舞。
百顺百依    同“百依百随”。
百顺千随    同“百依百随”。
百思不解    百般思索也不能理解。
百思莫解    见“百思不解”。
百死一生    形容生命极其危险，处于死亡的边缘。
百岁之盟    同“百年之约”。
百闻不如一见    多次听说还不及一次看到。意即耳闻是虚，眼见为实。
百无禁忌    谓一切不忌讳。
百无聊赖    指精神无所依托，非常无聊。
百无是处    又作：一无是处。形容全都是错的，没有一点对的地方。
百无所成    又作：一事无成。
百无一成    又作：一事无成。
百无一堪    谓百人中无一人能胜任。
百无一能    百事中无一事能做。形容人无能。
百无一失    见“百不失一”。
百无一是    谓百事之中无一件是正确的。表示对人对事的全盘否定。
百无一用    谓毫无用处。
百务具举    各种事务全都兴办。
百下百全    又作：百发百中，万无一失。
百下百着    见“百下百全”。
百依百顺    同“百依百随”。
百依百随    形容什么都顺从。
百载树人    见“百年树人”。
百战百败    每战必败。
百战百胜    每战必胜；战无不胜。
百战不殆    谓每战必胜，从不打败仗。
百战无前    又作：所向无敌。
百丈竿头    佛教语。百丈高的竿子。比喻道行已达极高的境界。
百折不摧    同“百折不挠”。
百折不回    同“百折不挠”。
百折不挠    受到无数挫折都不屈服、动摇。形容意志坚强。
百折不屈    同“百折不挠”。
百折不移    屡遭挫折亦不改变其操守。
百折千回    形容经过种种曲折和纡回。
百拙千丑    极言拙劣丑陋。
百紫千红    形容繁花似锦，色彩繁多。
百纵千随    同“百依百随”。
百足不僵    见“百足之蟲，至死不僵”。
百足之蟲，断而不蹶    见“百足之蟲，至断不蹶”。
百足之蟲，死而不僵    同“百足之蟲，至死不僵”。
百足之蟲，至断不蹶    同“百足之蟲，至死不僵”。
百足之蟲，至死不僵    比喻势力雄厚的集体或个人一时不易垮台。
百足之蟲    ①马陆的别名。体长而稍扁，长寸余，由许多环节构成，各节有足一至二对。中断成两截，头尾仍能各自行走。多用以比喻故国、旧家或势位富厚的人。②蜈蚣的俗称。
败不旋踵    形容很快就遭到失败。
败材伤锦    《左传·襄公三十一年》：“扞子产谓子皮曰：呴‘子有美锦，不使人学制焉。大官大邑，身之所庇也，而使学者制焉。其为美锦，不亦多乎？’”《孟子·梁惠王下》：“孟子谓齐宣王曰：‘为巨室，则必使工师求大木。工师得大木，则王喜，以为能胜其任也。匠人斫而小之，则王怒，以为不胜其任矣。’”后以“败材伤锦”喻用非其人，伤害国家。
败国丧家    使国破家亡。
败国亡家    见“败国丧家”。
败化伤风    见“败俗伤化”。
败绩失据    谓事业失败而无所凭依。
败井颓垣    又作：房毁墙坍。形容村舍荒凉。
败军之将    战败的将领。
败鳞残甲    龙身上散落的鳞甲。比喻纷飞的雪花。
败柳残花    比喻风尘女子。
败事有馀，成事不足    谓非但办不好事情，反而常常把事情搞坏。
败俗伤风    见“败俗伤化”。
败俗伤化    谓败坏社会道德风气。
败於垂成    谓临近成功时遭到失败。
拜赐之师    春秋时，秦晋殽之战，秦将孟明视被俘。获释时，孟谓晋君曰：“三年将拜君赐。”后三年，秦果然出兵伐晋复仇。又败，晋人讥之为“拜赐之师”。见《左传·文公二年》。后因以讽刺为复仇而又失败的出兵。
稗耳贩目    比喻见闻浅薄，如商贩之买货卖货。
稗官小说    即野史小说，街谈巷说之言。
稗官野史    泛称记载轶闻琐事的文字。
扳龙附凤    谓依附龙凤而升空。
班驳陆离    见“班駮陆离”。
班駮陆离    亦作“班驳陆离”。同“斑駮陆离”。
班荆道故    见“班荆道旧”。
班荆道旧    亦作“班荆道故”。谓朋友相遇于途，铺荆坐地，共叙情怀。典出《左传·襄公二十六年》：“楚伍参与蔡太师子朝友，其子伍举与声子相善……伍举奔郑，将遂奔晋。声子将如晋，遇之於郑郊，班荆相与食，而言复故。”杜预注：“班，布也。布荆坐地，共议归楚，事朋友世亲。”后泛指朋友相遇，共叙离情。
班门弄斧    在鲁班门前摆弄斧子。鲁班即公输班，古代巧匠。比喻在行家面前卖弄本领，不自量力。
班香宋艳    班固和宋玉均善辞赋，以富丽见称，后以“班香宋艳”泛称辞赋之美者。
班衣戏采    相传老莱子七十岁时穿彩衣作兒戏以娱亲。后以“班衣戏采”为老养父母的孝亲典故。
斑驳陆离    见“斑駮陆离”。
斑駮陆离    亦作“斑驳陆离”。色彩斑斓绚丽貌。
斑衣戏彩    谓身穿彩衣，作婴兒戏耍以娱父母。《北堂书钞》卷一二九引《孝子传》言老莱子年七十，父母尚在，因常服斑衣，为婴兒戏以娱父母。
搬脣递舌    挑拨是非。
搬脣弄舌    ①挑拨是非。②卖弄口才。
搬斤播两    谓盘剥克扣。
搬弄是非    把别人背后说的话传来传去，蓄意挑拨，或在别人背后乱加议论，引起纠纷。
阪上走丸    在斜坡上滚泥丸。极言其轻而易举。
板板六十四    宋时官铸铜钱，每板六十四文，不得增减。后因以“板板六十四”比喻刻板不知变通。
板上钉钉    比喻事情已定，不容变更或说话算数。
板上砸钉    见“板上钉钉”。
版版六十四    宋代铸钱每版以六十四文为定数，不得增减。后因以“版版六十四”喻刻板守旧，不知变通。
版筑饭牛    版筑，造土墙；饭牛，喂牛。相传商代贤者傅说筑于傅岩，武丁用以为相。事见《书·说命上》。春秋时卫国贤者宁戚饭牛车下，扣牛角而歌，桓公异之，拜为上卿。事见《吕氏春秋·举难》。后以“版筑饭牛”为贤臣出身微贱之典。
半半拉拉    不完整；未全部完成的。
半半路路    事物进行的过程中间。
半壁河山    同“半壁江山”。
半壁江山    谓国土的一部或大部分。
半壁山河    同“半壁江山”。
半部论语    宋初宰相赵普，人言所读仅只《论语》而已。太宗赵匡义因此问他。他说：“臣平生所知，诚不出此，昔以其半辅太祖（赵匡胤）定天下，今欲以其半辅陛下致太平。”见宋罗太经《鹤林玉露》卷七。旧称半部《论语》治天下，典出于此。
半筹不纳    半点计策也施展不出，半点办法也没有。
半筹莫展    犹半筹不纳。
半低不高    中等；不高不矮。
半懂不懂    不十分懂。
半饥半饱    谓不求甚饱或吃不饱饭。
半间半界    见“半间不界”。
半间不界    亦作“半间半界”。①不彻底，不深透。②不明确。③又作：不上不下。④谓平庸。
半截入土    谓人老，已快到寿终的时候。
半解一知    同“一知半解”。理解得不深，知道得很少。
半斤八两    旧制一斤合十六两，半斤等于八两。半斤、八两轻重相等，比喻彼此不相上下。
半路出家    谓成年后才去做和尚、尼姑。比喻中途改业，不是科班出身。
半路修行    见“半路出家”。
半梦半醒    谓睡眠尚未清醒。
半面之交    谓只见过一次面的交往。
半面之旧    谓只见过一次面的旧交。
半青半黄    庄稼未成熟时，青黄相间。比喻事物未达到成熟的境地。
半三不四    谓心神不定，无精打采。
半上半下    谓两可之间。
半上落下    犹半途而废。
半生半熟    亦作“半生不熟”。①不熟悉；不熟练。②没有完全成熟或未烹煮至可食用的程度。
半生不熟    见“半生半熟”。
半死半生    ①未全死。②比喻无意义、无生气的苟且的生活。
半死不活    亦作“半死辣活”。①不死不活。谓死又死不了，活着又受罪。②没有生气或活力。
半死辣活    见“半死不活”。
半涂而废    半路上终止。比喻做事情有始无终。
半途而废    见“半涂而废”。
半吐半露    见“半吞半吐”。
半推半就    心里愿意，表面上却不肯答应或接受。形容假意推辞。
半吞半吐    亦作“半吐半露”。说一半留一半。形容说话不直截了当。
半文半白    亦作“半文不白”。文言和白话夹杂。
半文不白    见“半文半白”。
半新半旧    不新不旧。
半新不旧    见“半新半旧”。
半信半疑    犹半信不信。
半信不信    谓不完全相信。
半夜三更    指午夜时。一夜分成五更，三更为午夜。亦泛指深夜。
半疑半信    同“半信半疑”。
伴食宰相    《旧唐书·卢怀慎传》：“怀慎与紫微令姚崇对掌枢密，怀慎自以为吏道不及崇，每事皆推让之。时人谓之‘伴食宰相’。”后因以指身居相位而庸懦不能任事者。
伴食中书    谓执政大臣庸懦而不堪任事。
帮虎吃食    亦作“帮狗吃食”。比喻帮坏人作坏事。
帮閒钻懒    亦作“帮闲钻懒”。谓逢迎凑趣，耍弄乖巧。
帮闲钻懒    见“帮閒钻懒”。
榜上无名    旧指科举考试落第未被录取。
蚌病成珠    《淮南子·说林训》：“明月之珠，蛖之病而我之利。”尨，同“蚌”。后遂以“蚌病成珠”比喻因不得志而写出好文章来。尨，同“蚌”。后遂以“蚌病成珠”比喻因不得志而写出好文章来。
蚌病生珠    见“蚌病成珠”。
傍观者审，当局者迷    谓局外人对事物观察得周详慎密，当事人则往往会迷惑糊涂。
傍人篱壁    比喻依赖他人。
傍人篱落    见“傍2人篱壁”。
傍人门户    宋苏轼《东坡志林》卷十二：“桃符仰视艾人而骂曰：‘汝何等草芥，辄居我上！’艾人俯而应曰：‘汝已半截入土，犹争高下乎？’桃符怒，往复纷然不已。门神解之曰：‘吾辈不肖，方傍人门户，何暇争闲气耶！’”后因以“傍人门户”谓依赖他人，不能自立。
傍若无人    好象旁边没有人在。形容神情态度高傲自如。
棒打鸳鸯    喻用强硬手段拆散别人夫妻、情人等。
徬徨失措    谓心神不宁，举动失常。
包办代替    谓应该和有关的人一起商量或一起做的事，却独自办理，不让旁人参与。
包藏祸心    暗藏着不可告人的坏心。
包藏奸心    又作：包藏祸心。
包揽词讼    谓招揽承办别人的诉讼，从中谋利。
包罗万象    包含容纳一切。形容内容丰富，无所不有。
包罗万有    犹包罗万象。
包羞忍耻    忍受耻辱，表示气量大。
苞藏祸心    同“包藏祸心”。心里隐藏着坏主意。苞，通“包”。
襃衣博带    宽衣大带。古代儒者的装束。
宝马香车    名贵的良马，华丽的车子。借指富贵之家出行的排场。
